type,national,name,department_number,department_name,enroll_rate
一般,公立,國立政治大學,140101,教育學系,100
一般,公立,國立嘉義大學,140101,教育學系,100
一般,公立,國立臺北教育大學,140101,教育學系,100
一般,公立,國立臺灣師範大學,140107,教育心理與輔導學系,100
一般,公立,國立東華大學,140120,課程設計與潛能開發學系,100
一般,公立,臺北市立大學,140101,教育學系,98.33
一般,公立,國立臺中教育大學,140101,教育學系,97.5
一般,公立,國立屏東大學,140107,教育心理與輔導學系,97.5
一般,公立,國立高雄師範大學,140101,教育學系,96.88
一般,私立,中國文化大學,140101,教育學系,96.55
一般,公立,國立臺南大學,140101,教育學系,96.39
一般,公立,國立臺灣師範大學,140101,教育學系,96.3
一般,公立,國立暨南國際大學,140121,國際文教與比較教育學系,95.56
一般,公立,國立暨南國際大學,140124,諮商心理與人力資源發展學系,95
一般,公立,國立屏東大學,140101,教育學系,93.75
一般,公立,國立新竹教育大學,140122,教育與學習科技學系,93.59
一般,公立,國立新竹教育大學,140108,教育心理與諮商學系,92.5
一般,公立,國立臺東大學,140101,教育學系,88.89
