type,national,name,department_number,department_name,enroll_rate,selected
一般,公立,國立嘉義大學,140401,幼兒教育學系,100,1
一般,公立,國立東華大學,140401,幼兒教育學系,100,1
一般,公立,國立臺東大學,140401,幼兒教育學系,95.35,1
一般,公立,國立臺南大學,140401,幼兒教育學系,97.56,1
一般,公立,國立新竹教育大學,140401,幼兒教育學系,98.72,1
一般,公立,國立臺中教育大學,140401,幼兒教育學系,95.45,1
一般,公立,國立屏東大學,140401,幼兒教育學系,96.25,1
一般,私立,南華大學,140401,幼兒教育學系,97.83,1
一般,公立,臺北市立大學,140401,幼兒教育學系,97.37,1
一般,私立,稻江科技暨管理學院,140401,幼兒教育學系,17.5,1
一般,私立,亞洲大學,140401,幼兒教育學系,98.89,1
一般,私立,台灣首府大學,140401,幼兒教育學系,65.71,1
一般,私立,慈濟大學,140402,兒童發展與家庭教育學系,90,1
一般,公立,國立臺北教育大學,140408,幼兒與家庭教育學系,97.5,1
技職,私立,中臺科技大學,140409,兒童教育暨事業經營系,83.33,1
