type,national,name,department_number,department_name,enroll_rate,selected,field
技職,私立,和春技術學院,520114,資訊工程系,7.5,1,5
技職,私立,和春技術學院,230307,商品設計系,8,1,2
技職,私立,桃園創新技術學院,480109,資訊管理系,8.33,1,4
技職,私立,和春技術學院,480109,資訊管理系,10,1,4
技職,私立,和春技術學院,320104,傳播藝術系,12,1,3
技職,私立,和春技術學院,349945,房仲與物業管理系,12,1,3
技職,私立,蘭陽技術學院,520226,機電工程系,12.31,1,5
一般,私立,台灣首府大學,230149,美術工藝文化創意產業學士學位學程,14,1,2
技職,私立,和春技術學院,230203,多媒體設計系,16,1,2
一般,私立,稻江科技暨管理學院,140401,幼兒教育學系,17.5,1,1
技職,私立,亞太創意技術學院,760403,兒童與家庭服務系,17.5,1,7
技職,私立,輔英科技大學,480101,資訊科技學位學程,18.09,1,4
技職,私立,和春技術學院,520101,電機工程系,18.33,1,5
一般,私立,康寧大學,810103,餐飲管理學系,18.89,1,8
技職,私立,臺灣觀光學院,810242,觀光旅遊系,18.89,1,8
一般,私立,康寧大學,230117,時尚造型設計學系,20,1,2
一般,私立,康寧大學,810812,保健美容學系,20,1,8
技職,私立,桃園創新技術學院,520114,資訊工程系,20.83,1,5
技職,私立,蘭陽技術學院,349958,數位行銷系,21.54,1,3
技職,私立,大漢技術學院,520322,土木工程與環境資源管理系,22.86,1,5
技職,私立,大漢技術學院,230120,珠寶技術系,23.33,1,2
技職,私立,大華科技大學,520161,電機與電子工程系,24.44,1,5
技職,私立,大華科技大學,520601,工業工程與管理系,24.44,1,5
技職,私立,和春技術學院,220303,應用外語系,25,1,2
技職,私立,東方設計學院,230311,流行商品設計系,25,1,2
技職,私立,桃園創新技術學院,340301,企業管理系,25.53,1,3
技職,私立,和春技術學院,520601,工業工程與管理系,25.88,1,5
技職,私立,桃園創新技術學院,230401,室內設計系,25.93,1,2
技職,私立,大華科技大學,230111,創意設計學位學程,26.67,1,2
一般,私立,華梵大學,520103,電子工程學系,26.67,1,5
技職,私立,黎明技術學院,520122,電資學士班學位學程,26.67,1,5
一般,私立,稻江科技暨管理學院,760216,老人福祉與社會工作學系,26.67,1,7
技職,私立,和春技術學院,810818,流行時尚造型設計系,26.67,1,8
技職,私立,東南科技大學,340301,企業管理系,27,1,3
技職,私立,東方設計學院,810204,觀光與休閒事業管理系,27.27,1,8
技職,私立,亞太創意技術學院,230203,數位媒體設計系,27.5,1,2
技職,私立,東方設計學院,810820,時尚美妝設計系,27.78,1,8
技職,私立,東方設計學院,340820,設計行銷系,28.24,1,3
技職,私立,桃園創新技術學院,230201,視覺傳達設計系,28.57,1,2
技職,私立,大華科技大學,480109,資訊管理系,28.89,1,4
技職,私立,大華科技大學,520226,機電工程系,28.89,1,5
一般,私立,真理大學,810253,觀光暨服務產業學士學位學程,28.89,1,8
技職,私立,遠東科技大學,521322,材料與能源工程系,29,1,5
技職,私立,醒吾科技大學,480503,資訊科技應用系,30,1,4
一般,私立,台灣首府大學,480521,資訊與多媒體設計學系,30,1,4
技職,私立,亞太創意技術學院,810503,休閒運動保健系,30,1,8
技職,私立,遠東科技大學,520163,電子與光電應用工程系,31.76,1,5
一般,私立,稻江科技暨管理學院,810210,休閒遊憩管理學系,32,1,8
技職,私立,亞太創意技術學院,230201,視覺傳達設計系,32.5,1,2
技職,私立,亞太創意技術學院,230322,陶瓷創意設計系,32.5,1,2
技職,私立,亞太創意技術學院,620616,保健營養生技系,32.5,1,6
技職,私立,桃園創新技術學院,850116,環境科技與管理系,33.33,1,8
技職,私立,蘭陽技術學院,810102,餐旅管理系,33.64,1,8
技職,私立,蘭陽技術學院,230401,室內設計系,34,1,2
技職,私立,元培醫事科技大學,520114,資訊工程系,34.23,1,5
技職,私立,大漢技術學院,810504,休閒運動管理系,34.29,1,8
技職,私立,吳鳳科技大學,520201,機械工程系,35,1,5
技職,私立,大華科技大學,340117,商務與觀光企劃系,35.56,1,3
一般,私立,稻江科技暨管理學院,230104,時尚設計學系,36,1,2
技職,私立,吳鳳科技大學,480312,應用遊戲科技系,36,1,4
一般,私立,康寧大學,480517,數位應用學系,36,1,4
技職,私立,和春技術學院,810204,觀光與休閒事業管理系,36,1,8
技職,私立,中華科技大學,520114,資訊工程系,36.36,1,5
技職,私立,元培醫事科技大學,521108,生物醫學工程系,36.36,1,5
技職,私立,東南科技大學,520103,電子工程系,36.67,1,5
技職,私立,大漢技術學院,810512,休閒事業經營系,37.14,1,8
技職,私立,建國科技大學,520614,工業與服務管理系,37.27,1,5
技職,私立,桃園創新技術學院,340802,行銷與流通管理系,37.5,1,3
技職,私立,中國科技大學,520130,電腦與通訊系,37.5,1,5
技職,私立,南榮科技大學,230317,創意產品設計系,37.78,1,2
一般,私立,康寧大學,340301,企業管理學系,38,1,3
技職,私立,蘭陽技術學院,810821,時尚美容設計系,38,1,8
技職,私立,元培醫事科技大學,520902,環境工程衛生系,38.64,1,5
技職,私立,蘭陽技術學院,810514,健康休閒管理系,38.75,1,8
技職,私立,慈濟科技大學,480102,資訊科技與管理系,39.8,1,4
技職,私立,遠東科技大學,230303,工業設計系,40,1,2
一般,私立,台灣首府大學,340301,企業管理學系,40,1,3
技職,私立,德霖技術學院,349916,不動產經營系,40,1,3
技職,私立,遠東科技大學,520101,電機工程系,40,1,5
技職,私立,遠東科技大學,520114,資訊工程系,40,1,5
技職,私立,吳鳳科技大學,520114,資訊工程系,40,1,5
技職,私立,臺灣觀光學院,810103,餐飲管理系,40,1,8
技職,私立,大華科技大學,810103,餐飲管理系,40,1,8
技職,私立,蘭陽技術學院,810242,觀光旅遊系,40,1,8
技職,私立,南榮科技大學,810801,美容造型設計系,40,1,8
技職,私立,桃園創新技術學院,810802,化妝品應用系,40,1,8
技職,私立,聖約翰科技大學,340802,行銷與流通管理系,41,1,3
技職,私立,東南科技大學,340802,行銷與流通管理系,41,1,3
技職,私立,聖約翰科技大學,349981,時尚經營管理系,41,1,3
技職,私立,桃園創新技術學院,810707,創意流行時尚設計系,41.51,1,8
技職,私立,東南科技大學,480109,資訊管理系,41.67,1,4
技職,私立,聖約翰科技大學,480109,資訊管理系,41.82,1,4
技職,私立,高苑科技大學,480503,資訊科技應用系,42,1,4
技職,私立,健行科技大學,480513,應用空間資訊系,42,1,4
技職,私立,和春技術學院,810103,餐飲管理系,42,1,8
技職,私立,聖約翰科技大學,520220,機械與電腦輔助工程系,42.5,1,5
技職,私立,大仁科技大學,480110,資訊工程與娛樂科技系,42.55,1,4
技職,私立,大漢技術學院,520201,機械工程系,42.86,1,5
技職,私立,萬能科技大學,340301,企業管理系,43.12,1,3
技職,私立,南榮科技大學,220321,應用日語系,43.33,1,2
技職,私立,東方設計學院,210616,影視藝術系,43.53,1,2
技職,私立,桃園創新技術學院,810204,觀光與休閒事業管理系,43.56,1,8
技職,私立,東方設計學院,230401,室內設計系,43.75,1,2
技職,私立,吳鳳科技大學,340802,行銷與流通管理系,43.75,1,3
技職,私立,育達科技大學,480109,資訊管理系,43.75,1,4
技職,私立,東方設計學院,230133,遊戲與動畫設計系,43.85,1,2
技職,私立,萬能科技大學,810810,美髮造型設計系,43.86,1,8
技職,私立,育達科技大學,480309,多媒體與遊戲設計系,43.88,1,4
一般,私立,稻江科技暨管理學院,210707,表演藝術學士學位學程,44,1,2
技職,私立,環球科技大學,420301,生物技術系,44,1,4
技職,私立,吳鳳科技大學,480109,資訊管理系,44,1,4
技職,私立,東南科技大學,230401,室內設計系,44.24,1,2
技職,私立,臺灣觀光學院,810118,廚藝管理系,44.3,1,8
技職,私立,崇右技術學院,230203,數位媒體設計系,44.44,1,2
技職,私立,黎明技術學院,349981,時尚經營管理系,44.44,1,3
技職,私立,輔英科技大學,480109,資訊管理系,44.44,1,4
技職,私立,黎明技術學院,480109,資訊管理系,44.44,1,4
技職,私立,萬能科技大學,340802,行銷與流通管理系,44.71,1,3
技職,私立,萬能科技大學,520114,資訊工程系,44.74,1,5
一般,私立,台灣首府大學,810202,觀光事業管理學系,44.86,1,8
技職,私立,元培醫事科技大學,729913,生物科技暨製藥技術系,44.94,1,7
技職,私立,崑山科技大學,340201,會計資訊系,45,1,3
一般,私立,真理大學,810209,休閒遊憩事業學系,45,1,8
技職,私立,吳鳳科技大學,230202,應用數位媒體系,45.19,1,2
技職,私立,東方設計學院,810103,餐飲管理系,45.83,1,8
一般,私立,康寧大學,720609,健康照護管理學系,45.88,1,7
一般,私立,康寧大學,320105,資訊傳播學系,46,1,3
一般,私立,稻江科技暨管理學院,480530,行動科技學系,46,1,4
技職,私立,聖約翰科技大學,520601,工業工程與管理系,46,1,5
技職,私立,中華醫事科技大學,720209,職業安全衛生系,46.15,1,7
技職,私立,台北海洋技術學院,840121,海空物流與行銷系,46.36,1,8
技職,私立,黎明技術學院,480101,資訊科技系,46.67,1,4
技職,私立,建國科技大學,520164,資訊與網路通訊系,46.67,1,5
技職,私立,育達科技大學,340802,行銷與流通管理系,46.74,1,3
技職,私立,經國管理暨健康學院,810111,餐飲廚藝系,47,1,8
技職,私立,育達科技大學,220312,應用英語系,47.22,1,2
技職,私立,輔英科技大學,420302,生物科技系,47.27,1,4
一般,私立,康寧大學,220303,應用外語學系,47.37,1,2
技職,私立,美和科技大學,340501,財務金融系,48,1,3
技職,私立,聖約翰科技大學,489903,醫護資訊學士學位學程,48,1,4
技職,私立,南開科技大學,520103,電子工程系,48,1,5
技職,私立,遠東科技大學,340802,行銷與流通管理系,48.18,1,3
技職,私立,輔英科技大學,349928,文教事業管理學位學程,48.57,1,3
技職,私立,桃園創新技術學院,520201,機械工程系,48.65,1,5
技職,私立,華夏科技大學,349911,資產與物業管理系,48.89,1,3
技職,私立,建國科技大學,520103,電子工程系,49.09,1,5
技職,私立,環球科技大學,230309,創意商品設計系,50,1,2
技職,私立,和春技術學院,340802,行銷與流通管理系,50,1,3
技職,私立,遠東科技大學,480109,資訊管理系,50.83,1,4
技職,私立,中華科技大學,340501,財務金融系,50.91,1,3
技職,私立,美和科技大學,480101,資訊科技系,50.91,1,4
技職,私立,崇右技術學院,230117,時尚造型設計系,51,1,2
技職,私立,德霖技術學院,520103,電子工程系,51.02,1,5
技職,私立,大華科技大學,810201,觀光管理系,51.11,1,8
一般,私立,真理大學,810250,旅遊文化與健康產業學士學位學程,51.11,1,8
技職,私立,建國科技大學,230302,商業設計系,51.28,1,2
技職,私立,中華科技大學,520301,土木工程系,51.67,1,5
技職,私立,遠東科技大學,810802,化妝品應用與管理系,51.67,1,8
技職,私立,建國科技大學,520121,自動化工程系,51.82,1,5
技職,私立,中華科技大學,520101,電機工程系,51.9,1,5
技職,私立,環球科技大學,220303,應用外語系,52,1,2
技職,私立,大仁科技大學,760301,社會工作系,52.14,1,7
技職,私立,東方設計學院,210301,美術工藝系,52.5,1,2
技職,私立,中州科技大學,620617,保健食品系,52.5,1,6
技職,私立,亞太創意技術學院,819916,寵物美容學士學位學程,52.5,1,8
技職,私立,桃園創新技術學院,810102,餐旅管理系,52.67,1,8
技職,私立,經國管理暨健康學院,480519,資訊多媒體應用系,52.83,1,4
技職,私立,東南科技大學,220312,應用英語系,53.33,1,2
技職,私立,高苑科技大學,480532,行動多媒體設計學位學程,53.33,1,4
一般,私立,稻江科技暨管理學院,810256,觀光規劃學士學位學程,53.33,1,8
技職,私立,中華科技大學,340824,國際商務與行銷系,53.64,1,3
技職,私立,中華科技大學,340301,企業管理系,53.7,1,3
技職,私立,中華醫事科技大學,340909,醫務暨健康事業管理系,53.75,1,3
技職,私立,美和科技大學,340904,健康事業管理系,54,1,3
技職,私立,健行科技大學,520103,電子工程系,54,1,5
一般,私立,稻江科技暨管理學院,810103,餐飲管理學系,54,1,8
技職,私立,吳鳳科技大學,520101,電機工程系,54.07,1,5
技職,私立,高苑科技大學,340802,行銷與流通管理系,54.55,1,3
技職,私立,大仁科技大學,760401,幼兒保育系,54.76,1,7
技職,私立,育達科技大學,220321,應用日語系,54.96,1,2
技職,私立,亞太創意技術學院,230206,數位科技設計系,55,1,2
技職,私立,遠東科技大學,349975,創新設計與創業管理系,55,1,3
技職,私立,東南科技大學,520328,營建與空間設計系,55,1,5
技職,私立,遠東科技大學,520201,機械工程系,55.29,1,5
技職,私立,華夏科技大學,520114,資訊工程系,55.56,1,5
技職,私立,美和科技大學,229907,文化創意系,56,1,2
一般,私立,明道大學,320105,資訊傳播學系,56,1,3
技職,私立,修平科技大學,480201,資訊網路技術系,56,1,4
一般,私立,明道大學,521322,材料與能源工程學系,56.12,1,5
技職,私立,東南科技大學,480101,資訊科技系,56.18,1,4
技職,私立,大仁科技大學,480316,資訊應用與管理系,56.25,1,4
技職,私立,華夏科技大學,520103,電子工程系,56.25,1,5
技職,私立,黎明技術學院,230317,創意產品設計系,56.36,1,2
技職,私立,育達科技大學,810508,休閒事業管理系,56.36,1,8
技職,私立,南開科技大學,480523,數位生活創意系,57.14,1,4
技職,私立,大同技術學院,810106,烘焙管理系,57.24,1,8
技職,私立,南榮科技大學,320804,數位行銷與廣告系,57.5,1,3
技職,私立,大同技術學院,340336,商業經營與設計系,57.5,1,3
技職,私立,南榮科技大學,520311,營建工程系,57.5,1,5
技職,私立,臺灣觀光學院,810101,旅館管理系,57.63,1,8
技職,私立,環球科技大學,230201,視覺傳達設計系,57.78,1,2
一般,私立,玄奘大學,480109,資訊管理學系,57.78,1,4
一般,私立,明道大學,220201,中國文學學系,58,1,2
技職,私立,黎明技術學院,230103,流行設計系,58,1,2
技職,私立,美和科技大學,760301,社會工作系,58,1,7
技職,私立,元培醫事科技大學,720713,視光系,58.14,1,7
技職,私立,高苑科技大學,480109,資訊管理系,58.18,1,4
技職,私立,臺灣觀光學院,810201,觀光休閒系,58.33,1,8
技職,私立,南榮科技大學,520101,電機工程系,58.44,1,5
技職,私立,華夏科技大學,520201,機械工程系,58.52,1,5
技職,私立,聖約翰科技大學,520103,電子工程系,58.57,1,5
技職,私立,大仁科技大學,340802,行銷與流通管理系,58.62,1,3
技職,私立,南榮科技大學,810102,餐旅管理系,58.67,1,8
